"102041","2002"
"102042","2001"
"102043","1991"
"102044","1999"
"102045","2000"
"102046","1993"
"102047","1996"
"102048","1988"
"102049","2004"
"102050","1998"
"102051","1994"
"102052","2003"
"102053","1997"
"102054","1983"
"102055","1979"
"102056","1995"
"102057","1982"
"102058","1985"
"102059","1992"
"102060","1986"
"102061","1978"
"102062","1980"
"102063","1952"
"102064","1987"
"102065","1990"
"102066","1981"
"102067","1989"
"102068","1984"
"102069","0"
"102070","1968"
"102071","1961"
"102072","1958"
"102073","1974"
"102074","1976"
"102075","1971"
"102076","1977"
"102077","1975"
"102078","1965"
"102079","1941"
"102080","1970"
"102081","1962"
"102082","1973"
"102083","1972"
"102084","1960"
"102085","1966"
"102086","1920"
"102087","1956"
"102088","1959"
"102089","1953"
"102090","1951"
"102091","1942"
"102092","1963"
"102093","1964"
"102094","1969"
"102095","1954"
"102096","1950"
"102097","1967"
"102098","2005"
"102099","1957"
"102100","1940"
"102101","1937"
"102102",NA
"102103","1955"
"102104","1946"
"102105","1936"
"102106","1930"
"102107","2011"
"102108","1925"
"102109","1948"
"102110","1943"
"102111","1947"
"102112","1945"
"102113","1923"
"102114","2020"
"102115","1939"
"102116","1926"
"102117","1938"
"102118","2030"
"102119","1911"
"102120","1904"
"102121","1949"
"102122","1932"
"102123","1928"
"102124","1929"
"102125","1927"
"102126","1931"
"102127","1914"
"102128","2050"
"102129","1934"
"102130","1910"
"102131","1933"
"102132","1902"
"102133","1924"
"102134","1921"
"102135","1900"
"102136","2038"
"102137","2026"
"102138","1944"
"102139","1917"
"102140","1901"
"102141","2010"
"102142","1908"
"102143","1906"
"102144","1935"
"102145","1806"
"102146","2021"
"102147","2012"
"102148","2006"
"102149","1909"
"102150","2008"
"102151","1378"
"102152","1919"
"102153","1922"
"102154","1897"
"102155","2024"
"102156","1376"
"102157","2037"
